Formality,Informativeness,Sentence
5,5,"According to the Shanghai Jiao Tong University Press, the press is currently compiling a picture album of Qian and a collection of his writings based on 800-plus-page documents retrieved from the U.S. National Archives, which include details about his encounters with the U.S. government and his trip back home."
6,6,A clouded electoral picture would further complicate the Obama administration's efforts to decide whether to send tens of thousands more troops to Afghanistan to battle the Taliban and its al-Qaida allies.
5,5,"ACMD report confirms advice that cannabis remain in Class C, but home secretary Jacqui Smith overrules it for the first time in its history and moves drug to Class B."
4,4,A committee of scientists advising the Department of Health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.
7,7,A convicted rapist who fled before police arrived to arrest him on new rape charges was arrested Saturday in his inner-city neighborhood after police found six decomposing bodies at his home.
4,4,"Across Yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years."
4,4,"Activity through October in each of the world's six cyclone basins, from the North Atlantic to the Indian Ocean, has been at or below historical levels."
5,5,"Adams, appointed in 2003 by then- Gov. Rod Blagojevich to lead the state's chief social services agency, was set to join the Department of Commerce and Economic Opportunity's Office of Trade and Investment in a newly created role as the ""Illinois representative to Africa."""
5,5,"Adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected."
4,4,"Adams says Chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship."
6,6,Adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.
5,5,"A diplomatic source said: ""Lord Ashcroft was part of the official party that was organised by Her Majesty's Opposition. His inclusion in the party certainly raised a few eyebrows in Washington, because he's a controversial figure."""
5,5,"A Downing Street staffer said: ""This is being taken very seriously. Diplomatic channels in the Foreign Office are working behind the scenes on David's behalf."""
5,5,"A dozen of the 50 Wal-Mart stores in Massachusetts, including the one in Raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year."
4,4,"A few hours from now, tens of thousands of runners will hit New York streets."
4,4,"A few weeks earlier, one of Lozano's family members mockingly held up an official-looking document in Spanish, Hebert said."
4,4,"A few were Maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid."
5,5,"A few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school."
6,6,Afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.
5,5,"Afghan intelligence chief Amrullah Saleh said Afghan authorities had advance information that a Taliban attack in Kabul was in the works but was expected it during rush hour, and officials were unsure of the target."
5,5,"A flamboyant farmworker organizer who called himself a modern-day Emiliano Zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said Saturday."
6,6,A flotilla of rescue vessels continued its search Saturday for nine people feared dead at sea following an air collision between a Coast Guard aircraft and a Marine Corps helicopter.
6,6,A former chief of the state human services agency has decided not to accept a new job offered by Gov. Pat Quinn to head an expanded trade office in Africa.
4,4,"A former government chief scientific adviser, Sir David King, also said that Nutt had gone too far ."
4,4,A former top executive at hedge fund firm ValueAct Capital is one of seven people charged with trading on inside information in Acxiom Corp.
3,3,"After another crushing loss, Washington State coach Paul Wulff took away the almost bowl-like atmosphere as at least one positive."
6,6,"After a week in which Ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition MPs condemned David Cameron for allowing the peer to attend crucial meetings with Britain's closest and most important ally as the Tories shape foreign policy in preparation for government."
4,4,"""After Beijing was selected, as soon as the ink on the contract was dry, the International Olympic Committee ceded control of the Games to the Communist Party of China,"" said Wallechinsky."
5,5,"After consulting with all three parties that make up the national unity government, delegation head Oldemiro Baloi, the Mozambican Foreign Minister, told the media."
3,3,"After finishing 2-11 last season in Wulff's first year, the Cougars have four games left against Arizona, UCLA, Oregon State and Washington."
4,4,"After helping her, he set off to return to his sailboat, which was anchored at the Avalon harbor."
3,3,"After last week's fiasco, when an eastern span patch job fell apart after a mere seven weeks - we certainly hope so."
4,4,"After Nichols connected with Tyler Hart for a 38-yard touchdown pass to give the Eagles a 7-2 lead, Johnson then intercepted Hubel for the second time in the first quarter."
5,5,"After police did not oppose bail, Mr Zdenkowski set it at $10,000 and imposed strict conditions on Corben's freedom."
4,4,"After school, he had picked up a plastic jug of kerosene for his mother, which he stowed along with his green backpack."
4,4,"After that, the rounds of final inspections begin."
4,4,"After the House and Senate passed the bill on back-to-back partisan votes, the only folks doing a victory dance Friday were the Democrats who control the General Assembly and the governor's mansion."
4,4,"After the incident, Almaleki drove to Mexico and abandoned his vehicle in Nogales, Peoria police said."
5,5,"""After the rate hike last month, the Reserve Bank said that it wanted to get rates back towards a 'neutral' setting, which has traditionally been five to six per cent,"" Mr Eslake says."
3,3,"After they liquored up the girl with brandy, they proposed sex, according to several accounts by friends of those who were there but asked not to be named for fear of retaliation."
5,5,"After watching his team hold Charlotte to its franchise-low scoring output (59) in Wednesday's win, Rivers had complained that the offense lagged behind the defense."
4,4,"A further search of the house and property found two more bodies in a crawl space, and a sixth body was found in a shallow grave outside the home, Stacho said."
4,4,A gain would be the fifth in the past six months.
5,5,"A group of popular football players and cheerleaders - notably the school's First Couple, Quinn (Dianna Agron) and Finn (Cory Monteith) - have joined the much-scorned glee club, and their friends and coaches (including Jane Lynch's fabulously demonic cheerleader leader) are tormenting them."
5,5,"""A half-point hike can't be ruled out even if the odds are slim,"" says Shane Oliver, chief economist at AMP Capital."
4,4,"A handful of others in southwest Houston and Humble said they had concerns about Locke's past as a fiery civil rights activist, although several voters near Acres Homes found that aspect of his past persuasive."
6,6,"Ahead of the release of new findings from Queensland's Crime and Misconduct Commission on illicit drugs, intelligence director Chris Keen confirmed that cocaine use ""is more prevalent over a wider range of demographics""."
4,4,"Ahead of the typhoon, millions of Filipinos had boarded buses heading to home provinces for this weekend's All Saints Day, when people visit cemeteries to pay respects to dead relatives in this devoutly Roman Catholic nation."
6,6,Aides to the state's congressional delegation noted that Massachusetts is already digging deep into its own accounts to help fund its health care system.
4,4,"A jump in the import index to 52.8 from 50.7 ""shows an acceleration of domestic demand,"" Zhang said."
6,6,"A key change from the vetoed bill would tie new contribution limits to the primary and general elections rather than calendar years, reducing the advantage of incumbents who could raise money around the clock."
4,4,"A Kingwood woman said she supported Locke because of the organizations and individuals who back him, such as business groups and unions."
3,3,"A large debris field has been located, and debris has been collected, he said."
5,5,A lawyer for Burma's detained opposition leader Aung San Suu Kyi says she has been informed of the upcoming visit of two senior U.S. officials and is preparing to meet them.
5,5,"Alistair Darling is expected to confirm over the next few days that assets belonging to the two banks, which are majority-owned by the taxpayer, will be sold off to boost competition."
5,5,Alistair Darling is to trigger a banking revolution in the next few days that will see well-known names return to the High Street.
4,4,"Alistair Darling, the chancellor, warned ministers of tough times ahead and stated that any new projects would need to be ""paid for by savings elsewhere""."
3,3,"All 15 were shot to death, they said."
5,5,"All circles in Queensland support development of the Australia-China friendly and cooperative relationship, Bligh said."
4,4,"""All hands need to be on deck."""
4,4,All it needed was a spark - the elements were already there.
3,3,"All it took for things to lurch out of control, investigators, students and community leaders say, was opportunity - and that came when the girl left the school dance Saturday night, walked by a group of bad boys boozing hard in the unlit courtyard, and accepted their invitation to hang out."
4,4,"All of the early cases were from foreign visitors, though not just from the US."
5,5,"All seven aboard the Coast Guard plane are stationed at the Coast Guard Air Station in Sacramento, Calif., where their aircraft was based."
3,3,"""All the ones that have contacted me are considering their positions,"" he said."
4,4,"All three House positions represent districts east of the Cascades, and each was vacated before the previous occupant's term expired - two by deaths, and one by a promotion."
5,5,"All told, 53,000 feet of containment booms had been set out around the ship itself as well as important beaches."
5,5,All were being checked for spinal injuries.
6,6,"Almaleki was angry with his daughter ""as she had become too 'Westernized' and was not living according to [the family's] traditional Iraq[i] values,"" Peoria police said in a statement last week."
4,4,Almost 300 pirate attacks were logged worldwide in 2008 alone.
5,5,"Almost 7,000 specially-trained troops in jungle warfare are also part of the total strength of the central forces to be deployed for the task."
5,5,"Along the muddy-brown Kampar River, there are no kindly school crossing guards, no lumbering yellow buses, no lines of parents jockeying for parking space to deposit their little ones, with last-minute reminders of forgotten books and raincoats."
4,4,"Along the way, the brothers often talk about their day or the games they play at home."
4,4,"Along with Dodd, an old friend, Senator John F. Kerry of Massachusetts has taken Kirk under his wing, and the two meet often."
5,5,"Along with the rump of RBS and Lloyds, the new banks will continue to be Government-owned until at least after the Election - and there will be a ban on existing banks buying up the new institutions."
3,3,A lot of damage was caused by this crisis.
5,5,"""A lot of people are getting money from the government,"" he said, ""so it's not just embassies buying. Now regular people buy as well."""
5,5,"Already, the lack of water is fueling tribal conflicts and insurgencies, Mr. Eryani said."
4,4,"Also in the race are Mills Worsham, who represents the area on the HCC board, and George Foulard, 22, an operations manager at a local energy company who raised a surprising $112,000 for his first race."
5,5,"Also known as adivasis, they have faced decades of exploitation from local officials, moneylenders and private contractors, numerous government reports have found."
6,6,"Also running are Darrell Rodriguez, a logistics coordinator for General Electric Energy, and Alex Wathen, a bankruptcy lawyer."
6,6,"Also running are J. Brad Batteau, Kenneth Perkins and Donald Cook."
3,3,"Also up for grabs is a House seat from the 9th District, which includes Pullman and Cheney."
6,6,"Although both men deny it, there is speculation that the president wants to hand power to Gamal, our correspondent adds."
4,4,"Although he denies committing the crimes, he pleaded guilty to using a passport and credit card that did not belong to him."
4,4,"Although Peter has a shelf of city league soccer trophies, he and the others are mediocre pupils at best, sources said."
4,4,"Although Qian, a Hangzhou native in east China's Zhejiang Province, had long been a Beijing resident, his hometown friends feel close to him."
6,6,"Although the Chinese government has not taken action against Yuan or the publisher, a nongovernmental organization, the Chinese Assn. for the Promotion of Olympic Culture said last week it would file a civil lawsuit against Yuan's publisher, Beijing Fonghong Media Co., to prevent publication of any copies beyond the 200,000 in print in China."
5,5,"Although the pieces are already nearly a year overdue, Metropolitan Transportation Commission Executive Director Steve Heminger tells us, ""We are not going to bring that steel over here until we make sure everything is right."""
3,3,"Altogether, he was a perfect 7 for 7 in the third, scoring 20 of the Celtics' 38 points."
4,4,"A man and his son who were in a car on a bridge that collapsed in nearby Batangas province were also missing, said regional disaster officer Fred Bragas."
5,5,"A man drowned after being swept away by strong currents as he tried to cross a creek in Rizal province's Pililla township while carrying his 1-year-old child, who remains missing."
4,4,"A meeting of top seers from the temple town has demanded the Jagadguru's personal appearance on November 8 and also an unconditional apology, or face de-canonisation from the chair."
5,5,Amid growing controversy over politicians' finances there has been mounting pressure for peers to guarantee that they pay tax in this country as a condition for membership of the House of Lords.
5,5,"Among other things, she's been president of the Association of Bay Area Governments and chief of staff for then-state Sen. Bill Lockyer and former Oakland Mayor Lionel Wilson."
4,4,"Among TBA's first clients was the government of Kuwait, which agreed a seven-figure deal for advice on 'good governance' from the former Prime Minister."
6,6,"Among the coup backers, there were concerns over the elections and a growing realization that their scattering of allies in the U.S. Congress weren't winning the battle for administration support, said State Department and U.S. congressional officials."
5,5,"Among the letters are ones from Democratic U.S. Sens. Patty Murray and Maria Cantwell of Washington and U.S. Rep. Doc Hastings, R-Pasco."
5,5,"Among them are 1,000 pages of the dossier of Sascha Anderson, an avant-garde artist who was in the service of the Stasi but always denied any deep involvement."
5,5,A month later his application for permanent residency was approved.
5,5,"Amy Peck, 24, works for state Sen. Dan Patrick and gained prominence during the battle over revisions to the city's floodway ordinance."
4,4,"""An agreement is the way out,"" Shannon told the Hondurans, according to a senior Obama administration official."
5,5,Analysts say Mr Mubarak is under pressure from the United States - a close ally and major aid donor - to introduce democratic reforms.
3,3,Anambra is easily the worst affected state in the region.
3,3,"""And a lot of economic trees gone. The Anglican Church is on the verge of going. One man from Egboku after going to wedding, seeing the volume of water, he stopped his car to see the depth so that he will know how to pass. As soon as he stepped down, he was swept off to the stream down there and that was the end of the man."""
5,5,And a senior State Department official says the United States may follow the African Union in imposing targeted financial sanctions against key officials in Conakry in an effort to help move the troubled African state toward free elections.
4,4,And at least one environmental group wondered why responders didn't immediately place a protective boom along Crown Memorial State Beach in Alameda - the spot hardest hit by the spill.
4,4,"And candidates and special interest groups now would have to report campaign donations of more than $1,000 within five business days of receiving them."
4,4,And globally the ACE Index this past spring and summer were lower than at any point during the last 30 years.
5,5,"And in its middle-class neighborhoods, Baghdad is a city of surprising topiary sculptures: leafy ficus trees are carved in geometric spirals, balls, arches and squares, as if to impose order on a chaotic sprawl."
3,3,"And Kennedy himself would approve, Dodd said."
3,3,And Mr Blair would not be lonely on the Tesco payroll.
2,2,And Mr Ellam was replaced by Mr Lewis.
2,2,"""And now it comes from the Internet and satellite channels."""
3,3,"And now it is those 400 students and the rest of the 1,600-strong student body, along with their teachers and community leaders, who are wrestling to make sense of what happened."
3,3,"""And now, since working here, I know why the reconstruction work is so important, so that we don't forget, and that's what motivates me when some people say our task is hopeless and leads nowhere."""
3,3,And now we know.
4,4,And other critics who at one time shared his goals of agrarian reform complain that Montes became the kind of rural chieftain that he had long challenged.
3,3,"""And overall it was an issues-oriented campaign, not as negative as it usually gets."""
3,3,And some of the proposals could benefit the state.
3,3,"""And that's why it's unlikely to restart negotiations."""
4,4,"And the irony of it is that if you had asked Doc Rivers, Pierce wasn't even the best player on the floor."
3,3,"And The Mail on Sunday understands that Tony Blair's former spin-doctor Alastair Campbell - said to be the inspiration behind Malcolm Tucker, the tyrant played by actor Peter Capaldi in the BBC2 satire The Thick Of It - has taken on an increasingly influential role at No10."
3,3,And the message Paul Pierce wanted to get across in the locker room during the break was simple: Throw dirt on them.
4,4,"""And then there's [the question of] who picks up the tab for exceeding those minimums."""
4,4,And the political editor of a national newspaper also turned down the post - despite a personal plea by the Prime Minister to work for him.
4,4,And there was one more obvious piece missing in the new version -- Quinn's proposal to ban the state Democratic Party from making endorsements in primaries.
4,4,And this is a problem that extends far beyond the East Bay campus' borders.
4,4,A neighbour said the sound of the collapse was indescribable.
3,3,A neighbour said they were told more than a dozen people had been trapped underneath the balcony.
5,5,An excerpt of the interview was released Saturday night.
4,4,An index of employment dropped to 52.4 from 53.2.
5,5,An index of export orders climbed to 54.5 from 53.3.
4,4,An initial autopsy concluded that there were 'no suspicious circumstances'.
5,5,"An Iraqi man accused of running down his daughter in Arizona because she had become ""too Westernized"" is being held on two counts of aggravated assault, police said Saturday."
5,5,"Annie Laurie Gaylor, co-president of the Wisconsin-based Freedom From Religion Foundation, said she was pleased about the new rules but added that they don't go far enough."
5,5,"Ann Lawrence said: ""The inquest was a case of people forgetting where they were and losing key papers. It was a joke."""
5,5,"A No 10 spokesman said: ""The position has not changed. We have announced our plans to support the economy going forward."
4,4,An Ohio assembly plant voted yesterday and another Michigan factory votes today.
3,3,"""Another join, another small success,"" she says with a wry smile -- even though at least two-thirds of the sheet is still missing."
2,2,Another man arrived on a motorcycle from a more distant village.
5,5,"Another round of visa revocations, this time targeting families of de facto government officials, was also being threatened, a senior State Department official said."
5,5,"Another scientist who shares this view is Kevin Trenberth, head of the Climate Analysis Section at the National Center for Atmospheric Research in Boulder, Colo."
5,5,Another senior source suggested that the talks between Mr Blair and Tesco had been going on for five months.
6,6,An output index rose to 59.3 in October from 58 in September and a measure of new orders climbed to 58.5 from 56.8.
5,5,"Anthony Sowell, 50, was arrested in Cleveland, Ohio, after police received a tip-off as to his whereabouts."
6,6,"Anti-collision lights on Sea Kings had been replaced with strobe lights that ""blinded the pilots at low level, over water or in mist - so they switched them off""."
5,5,"A number of other displays followed, and the state eventually declared a moratorium that froze several pending permit requests."
5,5,"""Any insinuation that deals would have been made is absolutely false,"" the IOC said in a statement released last week."
2,2,"""Anyone who's staggering, that's usually the first thing you'll see, a little wobbly when they're running or walking,"" said Capt. Bruce Adams, a doctor with the Navy."
4,4,"Apart from heading the Tulsi Peeth, the swami is also vice-chancellor of a university for handicapped in Chitrakoot and a chain of blind colleges and enjoys a wide popularity in the region."
5,5,A Pentagon official said a day earlier that the crash likely killed all aboard.
4,4,"A phone call and e-mail to Roger Kerson, a UAW spokesman, weren't returned."
3,3,A pilot reported seeing a fireball about 7:10 p.m. Thursday near the crash site.
5,5,"A police source also told The Sunday Mail: ""More people are using it, but the more affluent can afford to use it more often."""
6,6,"Appointed freshman Rep. David Taylor, R-Moxee, running to complete the former term of Dan Newhouse, who was appointed Democratic Gov. Chris Gregoire's agriculture director."
4,4,"A prepackaged bankruptcy ""is probably going to go through,"" Icahn said yesterday."
6,6,A purchasing managers' report may show factories expanded at the fastest pace since 2006.
5,5,"A quick fix was installed over Labor Day weekend, but engineers failed to appropriately factor how weather and traffic would affect the repair."
4,4,A reading above 50 indicates an expansion.
4,4,A recent geological study of the environmental degradation in Anambra reported it will cost about $2 billion to address the gully erosion problem in the area.
6,6,"A report from the Commerce Department on Nov. 3 is expected to show that orders placed with U.S. factories rose 0.8 percent in September from the previous month, according to the survey median."
2,2,"Are Serena, Vanessa, Blair, Chuck, or Jenny good guys or villains?"
5,5,A resident who lives farther down the street said he felt the collapse through his floor.
4,4,"A revote is not a likely option because the deal was rejected by such a large margin, that person said."
3,3,"Ari Abdallah Morales, 16, of San Pablo and Marcelles James Peter, 17, of Pinole were transferred out of Richmond High to continuation high schools."
5,5,"Arias and the OAS had laid the groundwork for a deal, but the main sticking point -- Zelaya's reinstatement -- seemed insurmountable as the de facto government consistently balked."
4,4,Around 25 lakh people live in areas where Maoists are now having a free run.
6,6,A Royal Perth Hospital spokeswoman confirmed at least one person had a spinal injury.
4,4,"Arreola finished in about 38 minutes, half as fast as his typical time of 19 minutes."
5,5,"Arreola grew up in Mexico City where he learned about the Day of the Dead, a holiday that blends Catholic beliefs with indigenous traditions."
5,5,Arreola had helped organize the funeral of Cpl. Anthony Mihalo of Naperville and delivered a box of medals and patches to the family of Lance Cpl. Jesse De La Torre in Aurora.
5,5,"Arreola himself thought he'd never walk again, much less run competitively, after an improvised explosive device wounded him three years ago near Fallujah, Iraq."
3,3,"Arreola noticed that the streets were suspiciously quiet, no vehicle traffic or kids playing."
4,4,"Arreola participated in last year's Race of the Dead, which winds through Pilsen."
5,5,Arreola planned to carry along candy skulls to place on a community offering at the finish line in honor of his fellow Marines.
5,5,"Arreola's legs were shattered, and the stethoscope was not detecting any blood circulation in his lower legs."
2,2,Arreola was the worst hit.
6,6,"As a closely divided Senate pushes ahead on a sweeping health care overhaul, Kennedy's signature cause, and on other issues such as the economy and climate change, some party colleagues want him to make himself heard, Kirk said."
5,5,"As a convicted sex offender, Sowell was required to report regularly to the sheriff's office, which said he had complied."
5,5,"A safety gave Portland State an early 2-0 lead, but it could not overcome five turnovers, all interceptions."
4,4,"""As a scorer, when you make one or two in a row, you feel like you're on fire,"" Pierce said."
3,3,"""As awful as this attack was,"" Leonhardy said, ""just maybe it can represent a teachable moment. If people pay attention."""
5,5,"A search was also continuing Saturday for the missing boater, David Jines, Castillo said."
5,5,A seasonal ACE Index is simply the summation of all the storm values.
4,4,"A senior adviser said that in talks on Friday, Mr Abdullah's team decided he should not take part in the poll."
3,3,"A senior aide to David Miliband, favourite to succeed Gordon Brown as Labour leader, turned down the job, saying his loyalty was to the Foreign Secretary."
4,4,A senior Nato adviser on piracy has criticised the government for failing to investigate adequately whether ransom payments to Somali pirates fund Islamist groups including al-Qaida.
5,5,A senior State Department official said Friday the Obama administration is considering financial sanctions against Guinea's military rulers to try to prompt junta leader Moussa Dadis Camara to step aside and allow free elections.
5,5,"A separate government report showed consumer spending, which comprises about 70 percent of the economy, fell in September for the first time in five months."
5,5,"""A settlement freeze and acknowledging the terms of reference is the only way toward peace negotiations,"" he said."
4,4,"As for the rest of the student body, she said: ""We are all shocked at how horrible this was."
4,4,"As for the suspects: They were a mix of the bad boys, the wannabe bad boys, and the hardened, grown-up bad boys who had aged out of school."
5,5,Ashcroft denies he now has any interest in Telemedia but his claims are rejected by the Belizean government.
6,6,Ashcroft has been criticised for refusing to clarify his tax status and explain whether he pays income tax in Britain.
5,5,Ashcroft is facing a mounting backlash in his adopted home of Belize.
4,4,Ashcroft's companies have made a series of donations to members of the Tories' foreign affairs team.
4,4,"Ashcroft, who owns several properties in the US, including a sprawling estate in Florida, met Hague in Washington and then flew back with him to Britain."
3,3,"As her anger later burned, she used it to take steps to find Bianca."
3,3,"A shorthanded Celtics bench (minus Glen Davis, Brian Scalabrine, and Tony Allen) manhandled the Bulls."
5,5,"As in the first round, the details were agreed on over opposition from Republicans who are in the minority and complained they were shut out of the process."
3,3,"As is tradition, they would set out the deceased's favorite food, drink and possessions from platefuls of tamales to mugs of champurrado, a hot, chocolate-based drink."
5,5,"Asked about his letter to the law ministry, the CJI said that ""If anyone has done any thing that would amount to misconduct, we do not want him as a Judge of the Supreme Court."""
5,5,"Asked about the damning report of the Tiruvallur collector's report about alleged encroachment of 197 acres of land by him in Kaverirajapuran village, Justice Dinakaran had said that ""the collector has got his facts wrong""."
6,6,"Asked at a news conference with Netanyahu about Palestinian conditions for relaunching the stalled peace process, Clinton said of the settlements: ""There has never been a precondition. It's always been an issue within the negotiations."""
5,5,"Asked if Mr Blair had been in talks with Tesco about representing them in the Middle East, the spokesman declined to comment, nor would he answer questions about whether the sum of £1million had been discussed."
4,4,"Asked whether he was thinking about resigning, he said: 'I'm sure we're all thinking that.'"
5,5,"""As long as the economic data points towards a recovery then the RBA will want to get up to a cash rate of around five per cent by the end of next year and that requires seven quarter-point increases,"" Mr Oliver says."
5,5,"As Maoists menace continued to be unabated, the government is all set to launch the much-awaited full-fledged anti-Naxal operations at three different areas, considered trijunctions of worst Naxal-affected states."
5,5,"As Middle East peace envoy, he has championed regeneration projects, such as the creation of an industrial park to provide jobs for 15,000 Palestinians in Jenin in the West Bank."
4,4,"""As my lead adviser on drugs harm, I am afraid the manner in which you have acted runs contrary to your responsibilities,"" Johnson added."
4,4,"As of Saturday, autopsies had been performed on all six bodies but no cause of death or names were announced."
5,5,"As often is the case when it comes to hurricane science, the question is data quality."
4,4,"A Somali pirate boss named Red Teeth said Saturday that his gang of pirates had whisked the British couple kidnapped at sea last month to a lair on shore, and apparently the pirates have begun bickering among themselves about what to do next."
3,3,A source close to Lord Mandelson said: 'It is wrong to blame Simon for what has happened. He has done a good job in difficult circumstances.'
4,4,"A source close to the family said life had not been easy for Mr Hampton, who was often away from his wife and son."
4,4,A source close to the production said changes were being proposed to the Gold Logie-winner's show after Ten executives eyed the recent success of Channel Nine's Hey Hey It's Saturday specials.
6,6,"As part of the deal, UBS admitted it actively helped Americans evade U.S. taxes."
4,4,"As peddlers spread their wares over blankets, the nearby government office was locked behind a closed gate."
4,4,"A spokesman added: ""We have called for more competition in banking, and for government stakes to be used to strategic effect to that end."
4,4,"A spokesman for Abbas, who faces intense domestic pressure from Hamas Islamists who say he is selling out, insisted that he would not resume suspended negotiations as long as Israel went on building in the occupied West Bank and East Jerusalem, where half a million Jews already live alongside some 3 million Arabs."
5,5,"A spokesman for Hague said: ""We flew back with him [Ashcroft] from Washington and this will be declared in the normal way. Lord Ashcroft attended some of the meetings and he didn't attend the meeting with Hillary Clinton."""
5,5,A spokesman for Lord Ashcroft referred all queries to the Conservative party.
4,4,"A spokesman for the Abdullah campaign, Fazel Sancharaki, said no decision had been made on a boycott and that the candidate would wait until the end of Saturday to see if his demands are met before making any announcement."
5,5,A spokesman for the Afghan election commission said that it is too late for Abdullah to officially withdraw and that a boycott will not prevent the runoff from going forward.
5,5,"A spokesman for the Department of Health said: ""The vaccination programme is in its early stages, allowing time to plan for which groups will be offered the vaccine next. A decision has not yet been made."""
4,4,"A spokesman for the Foreign Office confirmed it had employed a negotiator and said: ""We are aware of reports that a ransom demand of $7m has been made. HMG's policy remains clear: We will not make substantive concessions to hostage takers, including the payment of ransoms."""
4,4,A spokesman refused to elaborate on his views.
4,4,"A spokeswoman for the foreign secretary insisted last night he was not a candidate for the Brussels job and was ""working hard"" for Blair."
5,5,"As security has improved, he said, people have been buying plants again, coming to the nursery in the Jadriya neighborhood not only from other parts of Baghdad but also from around the country."
4,4,Association of Chief Police Officers says it now believes cannabis should be upgraded.
5,5,"As they try to climb back from historically low numbers in the statehouse, Republicans are targeting the Legislature's only Democrat from rural Eastern Washington in the marquee matchup among three legislative races on Tuesday's ballot."
5,5,"As thousands of voters went to the polls the past two weeks to pick a successor to the term-limited Mayor Bill White, many felt conflicted about three candidates whose policy views they knew to differ only in nuance and detail."
5,5,"A subsequent search revealed what appeared to be a freshly dug grave under the stairs in the basement, he said."
6,6,A suspected serial killer has been arrested in America after six bodes were discovered hidden in and around his house.
4,4,"A suspect in a massive double bomb attack in Baghdad grabbed a guard's weapon and shot an investigator, before being shot himself, the Interior Ministry said Saturday."
5,5,"As well as meeting Clinton, Hague was scheduled to see national security adviser General Jim Jones, Senate committee on foreign relations chair John Kerry, Senator John McCain and World Bank president Robert Zoellick."
5,5,"As well as paying for most of Hague's flights, Flying Lion has flown Mark Francois, the shadow minister to Europe, to former Yugoslav and Russian states and Andrew Mitchell, the shadow international development secretary, to South America, the Caribbean and Africa over the last two years."
4,4,"""As we near the completion of our review of detainees at Guantanamo Bay, we will continue to work closely with the Department of State to implement transfer decisions, and we are grateful to the Republic of Palau for its assistance in the resettlement of these individuals,"" Matthew Olsen, head of the Guantanamo Review Task Force, said in a statement."
5,5,"At 6:48 a.m. Friday, the Panamanian tanker Dubai Star spilled bunker oil into the bay as the ship was being refueled about 2 1/2 miles south of the Bay Bridge."
5,5,"At a Homeland Security committee meeting recently, he called for rapid delivery of the swine flu vaccine to protect college students traveling during the holidays."
5,5,"At a news conference, he joined Democrats' push to extend unemployment benefits, calling it ""a vital safety net"" that as many as 40,000 Massachusetts residents could lose by year's end."
