Informativeness,Sentence
Informative,"After finishing 2-11 last season in Wulff's first year, the Cougars have four games left against Arizona, UCLA, Oregon State and Washington."
Informative,"After helping her, he set off to return to his sailboat, which was anchored at the Avalon harbor."
Informative,"After last week's fiasco, when an eastern span patch job fell apart after a mere seven weeks - we certainly hope so."
Informative,"After Nichols connected with Tyler Hart for a 38-yard touchdown pass to give the Eagles a 7-2 lead, Johnson then intercepted Hubel for the second time in the first quarter."
Informative,"After police did not oppose bail, Mr Zdenkowski set it at $10,000 and imposed strict conditions on Corben's freedom."
Informative,"After school, he had picked up a plastic jug of kerosene for his mother, which he stowed along with his green backpack."
Informative,"After that, the rounds of final inspections begin."
Informative,"After the House and Senate passed the bill on back-to-back partisan votes, the only folks doing a victory dance Friday were the Democrats who control the General Assembly and the governor's mansion."
Informative,"After the incident, Almaleki drove to Mexico and abandoned his vehicle in Nogales, Peoria police said."
Informative,"""After the rate hike last month, the Reserve Bank said that it wanted to get rates back towards a 'neutral' setting, which has traditionally been five to six per cent,"" Mr Eslake says."
Informative,"After they liquored up the girl with brandy, they proposed sex, according to several accounts by friends of those who were there but asked not to be named for fear of retaliation."
Informative,"After watching his team hold Charlotte to its franchise-low scoring output (59) in Wednesday's win, Rivers had complained that the offense lagged behind the defense."
Informative,"A further search of the house and property found two more bodies in a crawl space, and a sixth body was found in a shallow grave outside the home, Stacho said."
Informative,A gain would be the fifth in the past six months.
Informative,"A group of popular football players and cheerleaders - notably the school's First Couple, Quinn (Dianna Agron) and Finn (Cory Monteith) - have joined the much-scorned glee club, and their friends and coaches (including Jane Lynch's fabulously demonic cheerleader leader) are tormenting them."
Informative,"""A half-point hike can't be ruled out even if the odds are slim,"" says Shane Oliver, chief economist at AMP Capital."
Informative,"A handful of others in southwest Houston and Humble said they had concerns about Locke's past as a fiery civil rights activist, although several voters near Acres Homes found that aspect of his past persuasive."
Informative,"Ahead of the release of new findings from Queensland's Crime and Misconduct Commission on illicit drugs, intelligence director Chris Keen confirmed that cocaine use ""is more prevalent over a wider range of demographics""."
Informative,"Ahead of the typhoon, millions of Filipinos had boarded buses heading to home provinces for this weekend's All Saints Day, when people visit cemeteries to pay respects to dead relatives in this devoutly Roman Catholic nation."
Informative,Aides to the state's congressional delegation noted that Massachusetts is already digging deep into its own accounts to help fund its health care system.
Informative,"A jump in the import index to 52.8 from 50.7 ""shows an acceleration of domestic demand,"" Zhang said."
Informative,"A key change from the vetoed bill would tie new contribution limits to the primary and general elections rather than calendar years, reducing the advantage of incumbents who could raise money around the clock."
Informative,"A Kingwood woman said she supported Locke because of the organizations and individuals who back him, such as business groups and unions."
Informative,"A large debris field has been located, and debris has been collected, he said."
Informative,A lawyer for Burma's detained opposition leader Aung San Suu Kyi says she has been informed of the upcoming visit of two senior U.S. officials and is preparing to meet them.
Informative,"Alistair Darling is expected to confirm over the next few days that assets belonging to the two banks, which are majority-owned by the taxpayer, will be sold off to boost competition."
Informative,Alistair Darling is to trigger a banking revolution in the next few days that will see well-known names return to the High Street.
Informative,"Alistair Darling, the chancellor, warned ministers of tough times ahead and stated that any new projects would need to be ""paid for by savings elsewhere""."
Informative,"All 15 were shot to death, they said."
Informative,"All circles in Queensland support development of the Australia-China friendly and cooperative relationship, Bligh said."
Informative,"""All hands need to be on deck."""
Informative,All it needed was a spark - the elements were already there.
Informative,"All it took for things to lurch out of control, investigators, students and community leaders say, was opportunity - and that came when the girl left the school dance Saturday night, walked by a group of bad boys boozing hard in the unlit courtyard, and accepted their invitation to hang out."
Informative,"All of the early cases were from foreign visitors, though not just from the US."
Informative,"All seven aboard the Coast Guard plane are stationed at the Coast Guard Air Station in Sacramento, Calif., where their aircraft was based."
Uninformative,"""All the ones that have contacted me are considering their positions,"" he said."
Informative,"All three House positions represent districts east of the Cascades, and each was vacated before the previous occupant's term expired - two by deaths, and one by a promotion."
Informative,"All told, 53,000 feet of containment booms had been set out around the ship itself as well as important beaches."
Informative,All were being checked for spinal injuries.
Informative,"Almaleki was angry with his daughter ""as she had become too 'Westernized' and was not living according to [the family's] traditional Iraq[i] values,"" Peoria police said in a statement last week."
Informative,Almost 300 pirate attacks were logged worldwide in 2008 alone.
Informative,"Almost 7,000 specially-trained troops in jungle warfare are also part of the total strength of the central forces to be deployed for the task."
Informative,"Along the muddy-brown Kampar River, there are no kindly school crossing guards, no lumbering yellow buses, no lines of parents jockeying for parking space to deposit their little ones, with last-minute reminders of forgotten books and raincoats."
Informative,"Along the way, the brothers often talk about their day or the games they play at home."
Informative,"Along with Dodd, an old friend, Senator John F. Kerry of Massachusetts has taken Kirk under his wing, and the two meet often."
Informative,"Along with the rump of RBS and Lloyds, the new banks will continue to be Government-owned until at least after the Election - and there will be a ban on existing banks buying up the new institutions."
Informative,A lot of damage was caused by this crisis.
Informative,"""A lot of people are getting money from the government,"" he said, ""so it's not just embassies buying. Now regular people buy as well."""
Informative,"Already, the lack of water is fueling tribal conflicts and insurgencies, Mr. Eryani said."
Informative,"Also in the race are Mills Worsham, who represents the area on the HCC board, and George Foulard, 22, an operations manager at a local energy company who raised a surprising $112,000 for his first race."
Informative,"Also known as adivasis, they have faced decades of exploitation from local officials, moneylenders and private contractors, numerous government reports have found."
Informative,"Also running are Darrell Rodriguez, a logistics coordinator for General Electric Energy, and Alex Wathen, a bankruptcy lawyer."
Informative,"Also running are J. Brad Batteau, Kenneth Perkins and Donald Cook."
Informative,"Also up for grabs is a House seat from the 9th District, which includes Pullman and Cheney."
Informative,"Although both men deny it, there is speculation that the president wants to hand power to Gamal, our correspondent adds."
Informative,"Although he denies committing the crimes, he pleaded guilty to using a passport and credit card that did not belong to him."
Informative,"Although Peter has a shelf of city league soccer trophies, he and the others are mediocre pupils at best, sources said."
Informative,"Although Qian, a Hangzhou native in east China's Zhejiang Province, had long been a Beijing resident, his hometown friends feel close to him."
Informative,"Although the Chinese government has not taken action against Yuan or the publisher, a nongovernmental organization, the Chinese Assn. for the Promotion of Olympic Culture said last week it would file a civil lawsuit against Yuan's publisher, Beijing Fonghong Media Co., to prevent publication of any copies beyond the 200,000 in print in China."
Informative,"Although the pieces are already nearly a year overdue, Metropolitan Transportation Commission Executive Director Steve Heminger tells us, ""We are not going to bring that steel over here until we make sure everything is right."""
Informative,"Altogether, he was a perfect 7 for 7 in the third, scoring 20 of the Celtics' 38 points."
Informative,"A man and his son who were in a car on a bridge that collapsed in nearby Batangas province were also missing, said regional disaster officer Fred Bragas."
Informative,"A man drowned after being swept away by strong currents as he tried to cross a creek in Rizal province's Pililla township while carrying his 1-year-old child, who remains missing."
Informative,"A meeting of top seers from the temple town has demanded the Jagadguru's personal appearance on November 8 and also an unconditional apology, or face de-canonisation from the chair."
Informative,Amid growing controversy over politicians' finances there has been mounting pressure for peers to guarantee that they pay tax in this country as a condition for membership of the House of Lords.
Informative,"Among other things, she's been president of the Association of Bay Area Governments and chief of staff for then-state Sen. Bill Lockyer and former Oakland Mayor Lionel Wilson."
Informative,"Among TBA's first clients was the government of Kuwait, which agreed a seven-figure deal for advice on 'good governance' from the former Prime Minister."
Informative,"Among the coup backers, there were concerns over the elections and a growing realization that their scattering of allies in the U.S. Congress weren't winning the battle for administration support, said State Department and U.S. congressional officials."
Informative,"Among the letters are ones from Democratic U.S. Sens. Patty Murray and Maria Cantwell of Washington and U.S. Rep. Doc Hastings, R-Pasco."
Informative,"Among them are 1,000 pages of the dossier of Sascha Anderson, an avant-garde artist who was in the service of the Stasi but always denied any deep involvement."
Informative,A month later his application for permanent residency was approved.
Informative,"Amy Peck, 24, works for state Sen. Dan Patrick and gained prominence during the battle over revisions to the city's floodway ordinance."
Informative,"""An agreement is the way out,"" Shannon told the Hondurans, according to a senior Obama administration official."
Informative,Analysts say Mr Mubarak is under pressure from the United States - a close ally and major aid donor - to introduce democratic reforms.
Informative,Anambra is easily the worst affected state in the region.
Informative,"""And a lot of economic trees gone. The Anglican Church is on the verge of going. One man from Egboku after going to wedding, seeing the volume of water, he stopped his car to see the depth so that he will know how to pass. As soon as he stepped down, he was swept off to the stream down there and that was the end of the man."""
Informative,And a senior State Department official says the United States may follow the African Union in imposing targeted financial sanctions against key officials in Conakry in an effort to help move the troubled African state toward free elections.
Informative,And at least one environmental group wondered why responders didn't immediately place a protective boom along Crown Memorial State Beach in Alameda - the spot hardest hit by the spill.
Informative,"And candidates and special interest groups now would have to report campaign donations of more than $1,000 within five business days of receiving them."
Informative,And globally the ACE Index this past spring and summer were lower than at any point during the last 30 years.
Informative,"And in its middle-class neighborhoods, Baghdad is a city of surprising topiary sculptures: leafy ficus trees are carved in geometric spirals, balls, arches and squares, as if to impose order on a chaotic sprawl."
Uninformative,"And Kennedy himself would approve, Dodd said."
Informative,And Mr Blair would not be lonely on the Tesco payroll.
Informative,And Mr Ellam was replaced by Mr Lewis.
Uninformative,"""And now it comes from the Internet and satellite channels."""
Informative,"And now it is those 400 students and the rest of the 1,600-strong student body, along with their teachers and community leaders, who are wrestling to make sense of what happened."
Informative,"""And now, since working here, I know why the reconstruction work is so important, so that we don't forget, and that's what motivates me when some people say our task is hopeless and leads nowhere."""
Uninformative,And now we know.
Informative,And other critics who at one time shared his goals of agrarian reform complain that Montes became the kind of rural chieftain that he had long challenged.
Informative,"""And overall it was an issues-oriented campaign, not as negative as it usually gets."""
Informative,And some of the proposals could benefit the state.
Informative,"""And that's why it's unlikely to restart negotiations."""
Informative,"And the irony of it is that if you had asked Doc Rivers, Pierce wasn't even the best player on the floor."
Informative,"And The Mail on Sunday understands that Tony Blair's former spin-doctor Alastair Campbell - said to be the inspiration behind Malcolm Tucker, the tyrant played by actor Peter Capaldi in the BBC2 satire The Thick Of It - has taken on an increasingly influential role at No10."
Informative,And the message Paul Pierce wanted to get across in the locker room during the break was simple: Throw dirt on them.
Uninformative,"""And then there's [the question of] who picks up the tab for exceeding those minimums."""
Informative,And the political editor of a national newspaper also turned down the post - despite a personal plea by the Prime Minister to work for him.
Informative,And there was one more obvious piece missing in the new version -- Quinn's proposal to ban the state Democratic Party from making endorsements in primaries.
Informative,And this is a problem that extends far beyond the East Bay campus' borders.
Informative,A neighbour said the sound of the collapse was indescribable.
Informative,A neighbour said they were told more than a dozen people had been trapped underneath the balcony.
Informative,An excerpt of the interview was released Saturday night.
Informative,An index of employment dropped to 52.4 from 53.2.
Informative,An index of export orders climbed to 54.5 from 53.3.
Informative,An initial autopsy concluded that there were 'no suspicious circumstances'.
Informative,"An Iraqi man accused of running down his daughter in Arizona because she had become ""too Westernized"" is being held on two counts of aggravated assault, police said Saturday."
Informative,"Annie Laurie Gaylor, co-president of the Wisconsin-based Freedom From Religion Foundation, said she was pleased about the new rules but added that they don't go far enough."
Informative,"Ann Lawrence said: ""The inquest was a case of people forgetting where they were and losing key papers. It was a joke."""
Informative,"A No 10 spokesman said: ""The position has not changed. We have announced our plans to support the economy going forward."
Informative,An Ohio assembly plant voted yesterday and another Michigan factory votes today.
Informative,"""Another join, another small success,"" she says with a wry smile -- even though at least two-thirds of the sheet is still missing."
Informative,Another man arrived on a motorcycle from a more distant village.
Informative,"Another round of visa revocations, this time targeting families of de facto government officials, was also being threatened, a senior State Department official said."
Informative,"Another scientist who shares this view is Kevin Trenberth, head of the Climate Analysis Section at the National Center for Atmospheric Research in Boulder, Colo."
Informative,Another senior source suggested that the talks between Mr Blair and Tesco had been going on for five months.
Informative,An output index rose to 59.3 in October from 58 in September and a measure of new orders climbed to 58.5 from 56.8.
Informative,"Anthony Sowell, 50, was arrested in Cleveland, Ohio, after police received a tip-off as to his whereabouts."
Informative,"Anti-collision lights on Sea Kings had been replaced with strobe lights that ""blinded the pilots at low level, over water or in mist - so they switched them off""."
Informative,"A number of other displays followed, and the state eventually declared a moratorium that froze several pending permit requests."
Informative,"""Any insinuation that deals would have been made is absolutely false,"" the IOC said in a statement released last week."
Informative,"""Anyone who's staggering, that's usually the first thing you'll see, a little wobbly when they're running or walking,"" said Capt. Bruce Adams, a doctor with the Navy."
Informative,"Apart from heading the Tulsi Peeth, the swami is also vice-chancellor of a university for handicapped in Chitrakoot and a chain of blind colleges and enjoys a wide popularity in the region."
Informative,A Pentagon official said a day earlier that the crash likely killed all aboard.
Informative,"A phone call and e-mail to Roger Kerson, a UAW spokesman, weren't returned."
Informative,A pilot reported seeing a fireball about 7:10 p.m. Thursday near the crash site.
Informative,"A police source also told The Sunday Mail: ""More people are using it, but the more affluent can afford to use it more often."""
Informative,"Appointed freshman Rep. David Taylor, R-Moxee, running to complete the former term of Dan Newhouse, who was appointed Democratic Gov. Chris Gregoire's agriculture director."
Informative,"A prepackaged bankruptcy ""is probably going to go through,"" Icahn said yesterday."
Informative,A purchasing managers' report may show factories expanded at the fastest pace since 2006.
Informative,"A quick fix was installed over Labor Day weekend, but engineers failed to appropriately factor how weather and traffic would affect the repair."
Informative,A reading above 50 indicates an expansion.
Informative,A recent geological study of the environmental degradation in Anambra reported it will cost about $2 billion to address the gully erosion problem in the area.
Informative,"A report from the Commerce Department on Nov. 3 is expected to show that orders placed with U.S. factories rose 0.8 percent in September from the previous month, according to the survey median."
Uninformative,"Are Serena, Vanessa, Blair, Chuck, or Jenny good guys or villains?"
Informative,A resident who lives farther down the street said he felt the collapse through his floor.
Informative,"A revote is not a likely option because the deal was rejected by such a large margin, that person said."
Informative,"Ari Abdallah Morales, 16, of San Pablo and Marcelles James Peter, 17, of Pinole were transferred out of Richmond High to continuation high schools."
Informative,"Arias and the OAS had laid the groundwork for a deal, but the main sticking point -- Zelaya's reinstatement -- seemed insurmountable as the de facto government consistently balked."
Informative,Around 25 lakh people live in areas where Maoists are now having a free run.
Informative,A Royal Perth Hospital spokeswoman confirmed at least one person had a spinal injury.
Informative,"Arreola finished in about 38 minutes, half as fast as his typical time of 19 minutes."
Informative,"Arreola grew up in Mexico City where he learned about the Day of the Dead, a holiday that blends Catholic beliefs with indigenous traditions."
Informative,Arreola had helped organize the funeral of Cpl. Anthony Mihalo of Naperville and delivered a box of medals and patches to the family of Lance Cpl. Jesse De La Torre in Aurora.
Informative,"Arreola himself thought he'd never walk again, much less run competitively, after an improvised explosive device wounded him three years ago near Fallujah, Iraq."
Informative,"Arreola noticed that the streets were suspiciously quiet, no vehicle traffic or kids playing."
Informative,"Arreola participated in last year's Race of the Dead, which winds through Pilsen."
Informative,Arreola planned to carry along candy skulls to place on a community offering at the finish line in honor of his fellow Marines.
Informative,"Arreola's legs were shattered, and the stethoscope was not detecting any blood circulation in his lower legs."
Informative,Arreola was the worst hit.
Informative,"As a closely divided Senate pushes ahead on a sweeping health care overhaul, Kennedy's signature cause, and on other issues such as the economy and climate change, some party colleagues want him to make himself heard, Kirk said."
Informative,"As a convicted sex offender, Sowell was required to report regularly to the sheriff's office, which said he had complied."
Informative,"A safety gave Portland State an early 2-0 lead, but it could not overcome five turnovers, all interceptions."
Informative,"""As a scorer, when you make one or two in a row, you feel like you're on fire,"" Pierce said."
Informative,"""As awful as this attack was,"" Leonhardy said, ""just maybe it can represent a teachable moment. If people pay attention."""
Informative,"A search was also continuing Saturday for the missing boater, David Jines, Castillo said."
Informative,A seasonal ACE Index is simply the summation of all the storm values.
Informative,"A senior adviser said that in talks on Friday, Mr Abdullah's team decided he should not take part in the poll."
Informative,"A senior aide to David Miliband, favourite to succeed Gordon Brown as Labour leader, turned down the job, saying his loyalty was to the Foreign Secretary."
Informative,A senior Nato adviser on piracy has criticised the government for failing to investigate adequately whether ransom payments to Somali pirates fund Islamist groups including al-Qaida.
Informative,A senior State Department official said Friday the Obama administration is considering financial sanctions against Guinea's military rulers to try to prompt junta leader Moussa Dadis Camara to step aside and allow free elections.
Informative,"A separate government report showed consumer spending, which comprises about 70 percent of the economy, fell in September for the first time in five months."
Informative,"""A settlement freeze and acknowledging the terms of reference is the only way toward peace negotiations,"" he said."
Informative,"As for the rest of the student body, she said: ""We are all shocked at how horrible this was."
Informative,"As for the suspects: They were a mix of the bad boys, the wannabe bad boys, and the hardened, grown-up bad boys who had aged out of school."
Informative,Ashcroft denies he now has any interest in Telemedia but his claims are rejected by the Belizean government.
Informative,Ashcroft has been criticised for refusing to clarify his tax status and explain whether he pays income tax in Britain.
Informative,Ashcroft is facing a mounting backlash in his adopted home of Belize.
Informative,Ashcroft's companies have made a series of donations to members of the Tories' foreign affairs team.
Informative,"Ashcroft, who owns several properties in the US, including a sprawling estate in Florida, met Hague in Washington and then flew back with him to Britain."
Informative,"As her anger later burned, she used it to take steps to find Bianca."
Informative,"A shorthanded Celtics bench (minus Glen Davis, Brian Scalabrine, and Tony Allen) manhandled the Bulls."
Informative,"As in the first round, the details were agreed on over opposition from Republicans who are in the minority and complained they were shut out of the process."
Informative,"As is tradition, they would set out the deceased's favorite food, drink and possessions from platefuls of tamales to mugs of champurrado, a hot, chocolate-based drink."
Informative,"Asked about his letter to the law ministry, the CJI said that ""If anyone has done any thing that would amount to misconduct, we do not want him as a Judge of the Supreme Court."""
Informative,"Asked about the damning report of the Tiruvallur collector's report about alleged encroachment of 197 acres of land by him in Kaverirajapuran village, Justice Dinakaran had said that ""the collector has got his facts wrong""."
Informative,"Asked at a news conference with Netanyahu about Palestinian conditions for relaunching the stalled peace process, Clinton said of the settlements: ""There has never been a precondition. It's always been an issue within the negotiations."""
Informative,"Asked if Mr Blair had been in talks with Tesco about representing them in the Middle East, the spokesman declined to comment, nor would he answer questions about whether the sum of 1million had been discussed."
Informative,"Asked whether he was thinking about resigning, he said: 'I'm sure we're all thinking that.'"
Informative,"""As long as the economic data points towards a recovery then the RBA will want to get up to a cash rate of around five per cent by the end of next year and that requires seven quarter-point increases,"" Mr Oliver says."
Informative,"As Maoists menace continued to be unabated, the government is all set to launch the much-awaited full-fledged anti-Naxal operations at three different areas, considered trijunctions of worst Naxal-affected states."
Informative,"As Middle East peace envoy, he has championed regeneration projects, such as the creation of an industrial park to provide jobs for 15,000 Palestinians in Jenin in the West Bank."
Informative,"""As my lead adviser on drugs harm, I am afraid the manner in which you have acted runs contrary to your responsibilities,"" Johnson added."
Informative,"As of Saturday, autopsies had been performed on all six bodies but no cause of death or names were announced."
Informative,"As often is the case when it comes to hurricane science, the question is data quality."
Informative,"A Somali pirate boss named Red Teeth said Saturday that his gang of pirates had whisked the British couple kidnapped at sea last month to a lair on shore, and apparently the pirates have begun bickering among themselves about what to do next."
Informative,A source close to Lord Mandelson said: 'It is wrong to blame Simon for what has happened. He has done a good job in difficult circumstances.'
Informative,"A source close to the family said life had not been easy for Mr Hampton, who was often away from his wife and son."
Informative,A source close to the production said changes were being proposed to the Gold Logie-winner's show after Ten executives eyed the recent success of Channel Nine's Hey Hey It's Saturday specials.
Informative,"As part of the deal, UBS admitted it actively helped Americans evade U.S. taxes."
Informative,"As peddlers spread their wares over blankets, the nearby government office was locked behind a closed gate."
Informative,"A spokesman added: ""We have called for more competition in banking, and for government stakes to be used to strategic effect to that end."
Informative,"A spokesman for Abbas, who faces intense domestic pressure from Hamas Islamists who say he is selling out, insisted that he would not resume suspended negotiations as long as Israel went on building in the occupied West Bank and East Jerusalem, where half a million Jews already live alongside some 3 million Arabs."
Informative,"A spokesman for Hague said: ""We flew back with him [Ashcroft] from Washington and this will be declared in the normal way. Lord Ashcroft attended some of the meetings and he didn't attend the meeting with Hillary Clinton."""
Informative,A spokesman for Lord Ashcroft referred all queries to the Conservative party.
Informative,"A spokesman for the Abdullah campaign, Fazel Sancharaki, said no decision had been made on a boycott and that the candidate would wait until the end of Saturday to see if his demands are met before making any announcement."
Informative,A spokesman for the Afghan election commission said that it is too late for Abdullah to officially withdraw and that a boycott will not prevent the runoff from going forward.
Informative,"A spokesman for the Department of Health said: ""The vaccination programme is in its early stages, allowing time to plan for which groups will be offered the vaccine next. A decision has not yet been made."""
Informative,"A spokesman for the Foreign Office confirmed it had employed a negotiator and said: ""We are aware of reports that a ransom demand of $7m has been made. HMG's policy remains clear: We will not make substantive concessions to hostage takers, including the payment of ransoms."""
Uninformative,A spokesman refused to elaborate on his views.
Informative,"A spokeswoman for the foreign secretary insisted last night he was not a candidate for the Brussels job and was ""working hard"" for Blair."
Informative,"As security has improved, he said, people have been buying plants again, coming to the nursery in the Jadriya neighborhood not only from other parts of Baghdad but also from around the country."
Informative,Association of Chief Police Officers says it now believes cannabis should be upgraded.
Informative,"As they try to climb back from historically low numbers in the statehouse, Republicans are targeting the Legislature's only Democrat from rural Eastern Washington in the marquee matchup among three legislative races on Tuesday's ballot."
Informative,"As thousands of voters went to the polls the past two weeks to pick a successor to the term-limited Mayor Bill White, many felt conflicted about three candidates whose policy views they knew to differ only in nuance and detail."
Informative,"A subsequent search revealed what appeared to be a freshly dug grave under the stairs in the basement, he said."
Informative,A suspected serial killer has been arrested in America after six bodes were discovered hidden in and around his house.
Informative,"A suspect in a massive double bomb attack in Baghdad grabbed a guard's weapon and shot an investigator, before being shot himself, the Interior Ministry said Saturday."
Informative,"As well as meeting Clinton, Hague was scheduled to see national security adviser General Jim Jones, Senate committee on foreign relations chair John Kerry, Senator John McCain and World Bank president Robert Zoellick."
Informative,"As well as paying for most of Hague's flights, Flying Lion has flown Mark Francois, the shadow minister to Europe, to former Yugoslav and Russian states and Andrew Mitchell, the shadow international development secretary, to South America, the Caribbean and Africa over the last two years."
Informative,"""As we near the completion of our review of detainees at Guantanamo Bay, we will continue to work closely with the Department of State to implement transfer decisions, and we are grateful to the Republic of Palau for its assistance in the resettlement of these individuals,"" Matthew Olsen, head of the Guantanamo Review Task Force, said in a statement."
Informative,"At 6:48 a.m. Friday, the Panamanian tanker Dubai Star spilled bunker oil into the bay as the ship was being refueled about 2 1/2 miles south of the Bay Bridge."
Informative,"At a Homeland Security committee meeting recently, he called for rapid delivery of the swine flu vaccine to protect college students traveling during the holidays."
Informative,"At a news conference, he joined Democrats' push to extend unemployment benefits, calling it ""a vital safety net"" that as many as 40,000 Massachusetts residents could lose by year's end."
